date,station,city,series,low_f,high_f,n_markets,n_settled,source,utc_offset_hours,checked_utc
2026-08-19,KSAT,San Antonio,KXHIGHTSATX,101,102,6,6,kalshi-api,-7,2026-08-21T13:29:48+00:00
2026-08-19,KSEA,Seattle,KXHIGHTSEA,83,,6,6,kalshi-api,-8,2026-08-21T13:29:48+00:00
2026-08-19,KSFO,San Francisco,KXHIGHTSFO,,68,6,6,kalshi-api,-8,2026-08-21T13:29:48+00:00
2026-08-20,KATL,Atlanta,KXHIGHTATL,97,98,6,6,kalshi-api,-6,2026-08-21T13:29:48+00:00
2026-08-20,KAUS,Austin,KXHIGHAUS,102,103,6,6,kalshi-api,-7,2026-08-21T13:29:48+00:00
2026-08-20,KBOS,Boston,KXHIGHTBOS,85,86,6,6,kalshi-api,-5,2026-08-21T13:29:48+00:00
2026-08-20,KDCA,Washington DC,KXHIGHTDC,92,,6,6,kalshi-api,-5,2026-08-21T13:29:48+00:00
2026-08-20,KDEN,Denver,KXHIGHDEN,92,93,6,6,kalshi-api,-7,2026-08-21T13:29:48+00:00
2026-08-20,KDFW,Dallas,KXHIGHTDAL,105,106,6,6,kalshi-api,-6,2026-08-21T13:29:48+00:00
2026-08-20,KHOU,Houston,KXHIGHTHOU,98,99,6,6,kalshi-api,-6,2026-08-21T13:29:48+00:00
2026-08-20,KLAS,Las Vegas,KXHIGHTLV,109,110,6,6,kalshi-api,-8,2026-08-21T15:20:33+00:00
2026-08-20,KLAX,Los Angeles,KXHIGHLAX,77,78,6,6,kalshi-api,-8,2026-08-21T15:20:33+00:00
2026-08-20,KMDW,Chicago,KXHIGHCHI,77,78,6,6,kalshi-api,-6,2026-08-21T13:29:48+00:00
2026-08-20,KMIA,Miami,KXHIGHMIA,93,94,6,6,kalshi-api,-5,2026-08-21T13:29:48+00:00
2026-08-20,KMSP,Minneapolis,KXHIGHTMIN,,79,6,6,kalshi-api,-6,2026-08-21T13:29:48+00:00
2026-08-20,KMSY,New Orleans,KXHIGHTNOLA,95,96,6,6,kalshi-api,-6,2026-08-21T13:29:48+00:00
2026-08-20,KNYC,New York City,KXHIGHNY,84,85,6,6,kalshi-api,-5,2026-08-21T13:29:48+00:00
2026-08-20,KOKC,Oklahoma City,KXHIGHTOKC,106,107,6,6,kalshi-api,-7,2026-08-21T13:29:48+00:00
2026-08-20,KPHL,Philadelphia,KXHIGHPHIL,84,85,6,6,kalshi-api,-5,2026-08-21T13:29:48+00:00
2026-08-20,KPHX,Phoenix,KXHIGHTPHX,,106,6,6,kalshi-api,-7,2026-08-21T15:20:33+00:00
2026-08-20,KSAT,San Antonio,KXHIGHTSATX,102,103,6,6,kalshi-api,-7,2026-08-21T13:29:48+00:00
2026-08-20,KSEA,Seattle,KXHIGHTSEA,85,86,6,6,kalshi-api,-8,2026-08-21T15:20:33+00:00
2026-08-20,KSFO,San Francisco,KXHIGHTSFO,69,70,6,6,kalshi-api,-8,2026-08-21T15:20:33+00:00
2026-08-21,KATL,Atlanta,KXHIGHTATL,93,94,6,6,kalshi-api,-6,2026-08-22T13:17:05+00:00
2026-08-21,KAUS,Austin,KXHIGHAUS,103,104,6,6,kalshi-api,-7,2026-08-22T13:17:05+00:00
2026-08-21,KBOS,Boston,KXHIGHTBOS,,74,6,6,kalshi-api,-5,2026-08-22T13:17:05+00:00
2026-08-21,KDCA,Washington DC,KXHIGHTDC,84,85,6,6,kalshi-api,-5,2026-08-22T13:17:05+00:00
2026-08-21,KDEN,Denver,KXHIGHDEN,100,101,6,6,kalshi-api,-7,2026-08-22T13:17:05+00:00
2026-08-21,KDFW,Dallas,KXHIGHTDAL,,103,6,6,kalshi-api,-6,2026-08-22T13:17:05+00:00
2026-08-21,KHOU,Houston,KXHIGHTHOU,99,100,6,6,kalshi-api,-6,2026-08-22T13:17:05+00:00
2026-08-21,KLAS,Las Vegas,KXHIGHTLV,108,109,6,6,kalshi-api,-8,2026-08-22T15:08:54+00:00
2026-08-21,KLAX,Los Angeles,KXHIGHLAX,82,83,6,6,kalshi-api,-8,2026-08-22T15:08:54+00:00
2026-08-21,KMDW,Chicago,KXHIGHCHI,80,81,6,6,kalshi-api,-6,2026-08-22T13:17:05+00:00
2026-08-21,KMIA,Miami,KXHIGHMIA,94,95,6,6,kalshi-api,-5,2026-08-22T13:17:05+00:00
2026-08-21,KMSP,Minneapolis,KXHIGHTMIN,83,84,6,6,kalshi-api,-6,2026-08-22T13:17:05+00:00
2026-08-21,KMSY,New Orleans,KXHIGHTNOLA,96,97,6,6,kalshi-api,-6,2026-08-22T13:17:05+00:00
2026-08-21,KNYC,New York City,KXHIGHNY,79,80,6,6,kalshi-api,-5,2026-08-22T13:17:05+00:00
2026-08-21,KOKC,Oklahoma City,KXHIGHTOKC,,101,6,6,kalshi-api,-7,2026-08-22T13:17:05+00:00
2026-08-21,KPHL,Philadelphia,KXHIGHPHIL,84,85,6,6,kalshi-api,-5,2026-08-22T13:17:05+00:00
2026-08-21,KPHX,Phoenix,KXHIGHTPHX,112,113,6,6,kalshi-api,-7,2026-08-22T15:08:54+00:00
2026-08-21,KSAT,San Antonio,KXHIGHTSATX,102,103,6,6,kalshi-api,-7,2026-08-22T13:17:05+00:00
2026-08-21,KSEA,Seattle,KXHIGHTSEA,81,82,6,6,kalshi-api,-8,2026-08-22T15:08:54+00:00
2026-08-21,KSFO,San Francisco,KXHIGHTSFO,68,69,6,6,kalshi-api,-8,2026-08-22T15:08:54+00:00
